candidate_name,summary_type,run_id,passed,banned_phrases_found,missing_required_caveats
Joe Radler,candidate_overview,run_20260824T182545Z,True,,
Joe Radler,professional_background,run_20260824T182545Z,True,,
Joe Radler,finance_explanation,run_20260824T182545Z,True,,
Joe Radler,court_context_explanation,run_20260824T182545Z,True,,
Joe Radler,public_record_notes_explanation,run_20260824T182545Z,True,,
Paul Sullivan,candidate_overview,run_20260824T182545Z,True,,
Paul Sullivan,professional_background,run_20260824T182545Z,True,,
Paul Sullivan,finance_explanation,run_20260824T182545Z,True,,
Paul Sullivan,court_context_explanation,run_20260824T182545Z,True,,
Paul Sullivan,public_record_notes_explanation,run_20260824T182545Z,True,,
Tami Pierce,candidate_overview,run_20260824T182545Z,True,,
Tami Pierce,professional_background,run_20260824T182545Z,True,,
Tami Pierce,finance_explanation,run_20260824T182545Z,True,,
Tami Pierce,court_context_explanation,run_20260824T182545Z,True,,
Tami Pierce,public_record_notes_explanation,run_20260824T182545Z,True,,
